passenger_id,survived,passenger_class,sex,age,siblings_spouses,parents_children,fare,embarked_c,embarked_q,embarked_s
1,0,3,0,-0.5834320775681558,0.8102200324595066,0.0,-0.8205524467753036,0,0,1
2,1,1,1,0.742685221190076,0.8102200324595066,0.0,2.0316232164746784,1,0,0
3,1,3,1,-0.2519027528785979,-0.6025119615158758,0.0,-0.7875775669667633,0,0,1
4,1,1,1,0.4940382276729075,0.8102200324595066,0.0,1.4192967965159125,0,0,1
5,0,3,0,0.4940382276729075,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
6,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.761524969334327,0,1,0
7,0,1,0,2.0688025199483078,-0.6025119615158758,0.0,1.358842850200255,0,0,1
8,0,3,0,-2.199637535429751,2.9293180234225806,0.0,-0.14517805662260871,0,0,1
9,1,3,1,-0.16902042170620843,-0.6025119615158758,0.0,-0.6308467419449267,0,0,1
10,1,2,1,-1.2464907269472718,0.8102200324595066,0.0,0.2942818304613415,1,0,0
11,1,3,1,-2.075314038671167,0.8102200324595066,0.0,-0.35890412945574,0,0,1
12,1,1,1,2.1102436855345026,-0.6025119615158758,0.0,0.12228485737999564,0,0,1
13,0,3,0,-0.7491967399129349,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
14,0,3,0,0.8255675523624655,0.8102200324595066,0.0,0.35310901603977735,0,0,1
15,0,3,1,-1.2464907269472718,-0.6025119615158758,0.0,-0.7910362654711258,0,0,1
16,1,2,1,2.1102436855345026,-0.6025119615158758,0.0,-0.393100301109041,0,0,1
17,0,3,0,-2.199637535429751,2.9293180234225806,0.0,0.24807791739035287,0,1,0
18,1,2,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.539655322480331,0,0,1
19,0,3,1,0.16250890298334955,0.8102200324595066,0.0,-0.29539695352818096,0,0,1
20,1,3,1,-0.08613809053381893,-0.6025119615158758,0.0,-0.8217737386200644,1,0,0
21,0,2,0,0.4940382276729075,-0.6025119615158758,0.0,0.0954164367952591,0,0,1
22,1,2,0,0.41115589650051804,-0.6025119615158758,0.0,-0.539655322480331,0,0,1
23,1,3,1,-1.1636083957748824,-0.6025119615158758,0.0,-0.7824872225578006,0,1,0
24,1,1,0,-0.08613809053381893,-0.6025119615158758,0.0,0.5595073378043441,0,0,1
25,0,3,1,-1.7437847139816087,2.9293180234225806,0.0,-0.14517805662260871,0,0,1
26,1,3,1,0.742685221190076,0.8102200324595066,0.0,0.35860482934120075,0,0,1
27,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.8217737386200644,1,0,0
28,0,1,0,-0.8320790710853244,2.9293180234225806,0.0,2.0316232164746784,0,0,1
29,1,3,1,-0.08613809053381893,-0.6025119615158758,0.0,-0.789814973626365,0,1,0
30,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7890040358414437,0,0,1
31,0,1,0,0.908449883534855,-0.6025119615158758,0.0,0.1794803970538311,1,0,0
32,1,1,1,-0.08613809053381893,0.8102200324595066,0.0,2.0316232164746784,1,0,0
33,1,3,1,-0.08613809053381893,-0.6025119615158758,0.0,-0.7961266098800885,0,1,0
34,0,2,0,2.1102436855345026,-0.6025119615158758,0.0,-0.661784506956406,0,0,1
35,0,1,0,-0.08613809053381893,0.8102200324595066,0.0,2.0316232164746784,1,0,0
36,0,1,0,1.074214545879634,0.8102200324595066,0.0,1.3655599553464393,0,0,1
37,1,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.8215685615901446,1,0,0
38,0,3,0,-0.6663144087405454,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
39,0,3,1,-0.9149614022577138,2.222952026434889,0.0,-0.29539695352818096,0,0,1
40,1,3,1,-1.2464907269472718,0.8102200324595066,0.0,-0.6255512205060441,1,0,0
41,0,3,1,0.908449883534855,0.8102200324595066,0.0,-0.7118574725915968,0,0,1
42,0,2,1,-0.16902042170620843,0.8102200324595066,0.0,-0.14884193215689093,0,0,1
43,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7890040358414437,1,0,0
44,1,2,1,-2.1581963698435565,0.8102200324595066,0.0,0.8564864331111263,1,0,0
45,1,3,1,-0.8320790710853244,-0.6025119615158758,0.0,-0.789814973626365,0,1,0
46,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
47,0,3,0,-0.08613809053381893,0.8102200324595066,0.0,-0.417526138004256,0,1,0
48,1,3,1,-0.08613809053381893,-0.6025119615158758,0.0,-0.7961266098800885,0,1,0
49,0,3,0,-0.08613809053381893,2.222952026434889,0.0,-0.1156618753184308,1,0,0
50,0,3,1,-0.9149614022577138,0.8102200324595066,0.0,-0.30516728828626694,0,0,1
51,0,3,0,-1.8266670451539984,2.9293180234225806,0.0,0.7640737218017698,0,0,1
52,0,3,0,-0.6663144087405454,-0.6025119615158758,0.0,-0.793684026190567,0,0,1
53,1,1,1,1.6543908640863605,0.8102200324595066,0.0,2.0316232164746784,1,0,0
54,1,2,1,-0.003255759361429436,0.8102200324595066,0.0,0.0954164367952591,0,0,1
55,0,1,0,2.1102436855345026,-0.6025119615158758,0.0,1.8530605784358982,1,0,0
56,1,1,0,-0.08613809053381893,-0.6025119615158758,0.0,0.5595073378043441,0,0,1
57,1,2,1,-0.6663144087405454,-0.6025119615158758,0.0,-0.661784506956406,0,0,1
58,0,3,0,-0.04469692494762418,-0.6025119615158758,0.0,-0.8215685615901446,1,0,0
59,1,2,1,-1.9924317074987772,0.8102200324595066,0.0,0.18090686592851163,0,0,1
60,0,3,0,-1.4951377204644403,2.9293180234225806,0.0,1.1164164190152461,0,0,1
61,0,3,0,-0.5834320775681558,-0.6025119615158758,0.0,-0.8215685615901446,1,0,0
62,1,1,1,0.742685221190076,-0.6025119615158758,0.0,2.0316232164746784,0,0,1
63,0,1,0,1.3228615393968024,0.8102200324595066,0.0,2.0316232164746784,0,0,1
64,0,3,0,-2.075314038671167,2.9293180234225806,0.0,0.18823461699707605,0,0,1
65,0,1,0,-0.08613809053381893,-0.6025119615158758,0.0,0.1794803970538311,1,0,0
66,1,3,0,-0.08613809053381893,0.8102200324595066,0.0,-0.42994423348178334,1,0,0
67,1,2,1,-0.003255759361429436,-0.6025119615158758,0.0,-0.661784506956406,0,0,1
68,0,3,0,-0.8320790710853244,-0.6025119615158758,0.0,-0.776180471471456,0,0,1
69,1,3,1,-0.9978437334301034,2.9293180234225806,0.0,-0.7875775669667633,0,0,1
70,0,3,0,-0.2519027528785979,2.222952026434889,0.0,-0.7515494575463212,0,0,1
71,0,2,0,0.24539123415573905,-0.6025119615158758,0.0,-0.661784506956406,0,0,1
72,0,3,1,-1.0807260646024928,2.9293180234225806,0.0,1.1164164190152461,0,0,1
73,0,2,0,-0.6663144087405454,-0.6025119615158758,0.0,2.0316232164746784,0,0,1
74,0,3,0,-0.2519027528785979,0.8102200324595066,0.0,-0.46861521845428766,1,0,0
75,1,3,0,0.24539123415573905,-0.6025119615158758,0.0,1.5851873103734548,0,0,1
76,0,3,0,-0.3347850840509874,-0.6025119615158758,0.0,-0.8010117772591314,0,0,1
77,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7890040358414437,0,0,1
78,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
79,1,2,0,-2.199637535429751,-0.6025119615158758,0.0,0.24197145816654914,0,0,1
80,1,3,1,0.07962657181096006,-0.6025119615158758,0.0,-0.5653024512203068,0,0,1
81,0,3,0,-0.5834320775681558,-0.6025119615158758,0.0,-0.735062017642051,0,0,1
82,1,3,0,-0.003255759361429436,-0.6025119615158758,0.0,-0.710636180746836,0,0,1
83,1,3,1,-0.08613809053381893,-0.6025119615158758,0.0,-0.7942946721129476,0,1,0
84,0,1,0,-0.08613809053381893,-0.6025119615158758,0.0,1.1261867537733323,0,0,1
85,1,2,1,-0.9978437334301034,-0.6025119615158758,0.0,-0.661784506956406,0,0,1
86,1,3,1,0.3282735653281285,2.9293180234225806,0.0,-0.4004280521776055,0,0,1
87,0,3,0,-1.0807260646024928,0.8102200324595066,0.0,0.5045492047901105,0,0,1
88,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
89,1,1,1,-0.5005497463957664,2.9293180234225806,0.0,2.0316232164746784,0,0,1
90,0,3,0,-0.4176674152233769,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
91,0,3,0,-0.003255759361429436,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
92,0,3,0,-0.7491967399129349,-0.6025119615158758,0.0,-0.7910362654711258,0,0,1
93,0,1,0,1.405743870569192,0.8102200324595066,0.0,1.8137740623736347,0,0,1
94,0,3,0,-0.2519027528785979,0.8102200324595066,0.0,-0.16960389351782373,0,0,1
95,0,3,0,2.1102436855345026,-0.6025119615158758,0.0,-0.8205524467753036,0,0,1
96,0,3,0,-0.08613809053381893,-0.6025119615158758,0.0,-0.7814711077429595,0,0,1
97,0,1,0,2.1102436855345026,-0.6025119615158758,0.0,0.5181885921123986,1,0,0
98,1,1,0,-0.5005497463957664,-0.6025119615158758,0.0,1.9204319217602805,1,0,0
99,1,2,1,0.41115589650051804,-0.6025119615158758,0.0,-0.051138584576030925,0,0,1
